,location,event,timestamp
291,Road 1,person,2022-01-03 18:08:26
292,Road 3,person,2022-01-03 17:25:55
293,Road 1,person,2022-01-03 00:33:31
294,Road 3,dog,2022-01-03 02:59:34
295,Road 3,car,2022-01-03 16:13:50
296,Road 2,car,2022-01-03 07:04:24
297,Road 3,dog,2022-01-03 14:04:21
298,Road 2,person,2022-01-03 20:09:55
299,Road 3,person,2022-01-03 00:49:28
300,Road 1,car,2022-01-04 07:24:06
301,Road 2,car,2022-01-04 05:00:30
302,Road 3,person,2022-01-04 01:56:13
303,Road 1,car,2022-01-04 19:07:29
304,Road 1,cow,2022-01-04 06:54:16
305,Road 3,person,2022-01-04 08:18:44
306,Road 2,person,2022-01-04 15:59:20
307,Road 3,car,2022-01-04 21:47:17
308,Road 2,person,2022-01-04 10:55:05
309,Road 2,cow,2022-01-04 22:54:22
310,Road 2,car,2022-01-04 16:58:30
311,Road 2,person,2022-01-04 00:36:31
312,Road 1,dog,2022-01-04 22:36:51
313,Road 1,car,2022-01-04 12:31:32
314,Road 3,person,2022-01-04 10:58:01
315,Road 3,person,2022-01-04 11:49:31
316,Road 3,car,2022-01-04 01:11:18
317,Road 3,car,2022-01-04 00:34:01
318,Road 3,car,2022-01-04 21:09:15
319,Road 3,dog,2022-01-04 20:14:03
320,Road 1,car,2022-01-04 12:47:53
321,Road 3,cow,2022-01-04 07:50:13
322,Road 3,person,2022-01-04 12:36:20
323,Road 3,cow,2022-01-04 12:29:59
324,Road 2,person,2022-01-04 19:46:51
325,Road 1,dog,2022-01-04 02:49:47
326,Road 1,car,2022-01-04 12:21:27
327,Road 3,person,2022-01-04 19:54:25
328,Road 3,person,2022-01-04 05:10:22
329,Road 3,car,2022-01-04 16:37:45
330,Road 1,person,2022-01-04 13:14:39
331,Road 3,dog,2022-01-04 11:44:15
332,Road 2,car,2022-01-04 07:11:59
333,Road 2,person,2022-01-04 12:15:04
334,Road 3,car,2022-01-04 23:42:40
335,Road 2,person,2022-01-04 12:09:55
336,Road 3,dog,2022-01-04 07:12:10
337,Road 2,car,2022-01-04 02:36:23
338,Road 2,car,2022-01-04 05:14:25
339,Road 1,person,2022-01-04 05:09:43
340,Road 1,dog,2022-01-04 09:38:26
341,Road 3,car,2022-01-04 09:29:20
342,Road 3,cow,2022-01-04 21:06:18
343,Road 2,person,2022-01-04 09:50:02
344,Road 3,car,2022-01-04 14:54:22
345,Road 3,dog,2022-01-04 04:10:39
346,Road 3,person,2022-01-04 04:15:13
347,Road 3,cow,2022-01-04 05:38:45
348,Road 3,dog,2022-01-04 17:36:55
349,Road 3,person,2022-01-04 09:17:14
350,Road 3,person,2022-01-04 11:32:49
351,Road 1,person,2022-01-04 08:50:00
352,Road 3,car,2022-01-04 18:27:21
353,Road 3,dog,2022-01-04 10:09:10
354,Road 2,dog,2022-01-04 01:07:49
355,Road 3,car,2022-01-04 07:17:03
356,Road 3,car,2022-01-04 05:34:51
357,Road 2,person,2022-01-04 19:13:36
358,Road 3,dog,2022-01-04 23:39:53
359,Road 2,person,2022-01-04 06:11:01
360,Road 3,car,2022-01-04 02:48:39
361,Road 1,person,2022-01-04 08:17:25
362,Road 1,cow,2022-01-04 12:10:07
363,Road 3,car,2022-01-04 05:42:08
364,Road 3,car,2022-01-04 14:56:11
365,Road 3,dog,2022-01-04 05:26:18
366,Road 3,cow,2022-01-04 22:44:34
367,Road 3,cow,2022-01-04 06:13:13
368,Road 3,car,2022-01-04 05:09:17
369,Road 3,dog,2022-01-04 07:38:26
370,Road 3,person,2022-01-04 04:05:57
371,Road 3,car,2022-01-04 17:52:14
372,Road 1,car,2022-01-04 12:26:36
373,Road 3,person,2022-01-04 13:37:34
374,Road 3,car,2022-01-04 10:56:48
375,Road 1,person,2022-01-04 01:37:02
376,Road 3,cow,2022-01-04 01:14:30
377,Road 2,car,2022-01-04 08:24:16
378,Road 1,cow,2022-01-04 23:54:30
379,Road 3,cow,2022-01-04 11:31:08
380,Road 3,dog,2022-01-04 04:20:02
381,Road 3,person,2022-01-04 18:18:11
382,Road 3,cow,2022-01-04 14:13:09
383,Road 3,car,2022-01-04 03:26:02
384,Road 3,person,2022-01-04 19:33:38
385,Road 1,car,2022-01-04 05:48:22
386,Road 2,cow,2022-01-04 09:40:03
387,Road 3,car,2022-01-04 06:21:29
388,Road 2,person,2022-01-04 17:08:04
389,Road 2,cow,2022-01-04 12:12:38
390,Road 3,person,2022-01-04 20:47:25
391,Road 3,cow,2022-01-04 07:48:29
392,Road 2,car,2022-01-04 07:54:07
393,Road 2,car,2022-01-04 12:43:43
394,Road 3,person,2022-01-04 05:01:55
395,Road 3,cow,2022-01-04 00:03:45
396,Road 3,car,2022-01-04 12:32:39
397,Road 1,person,2022-01-04 12:57:51
398,Road 3,dog,2022-01-04 22:13:51
399,Road 3,car,2022-01-04 11:13:56
400,Road 3,cow,2022-01-05 01:02:30
401,Road 3,car,2022-01-05 02:07:22
402,Road 3,car,2022-01-05 18:13:40
403,Road 3,car,2022-01-05 10:51:27
404,Road 2,car,2022-01-05 11:00:30
405,Road 3,car,2022-01-05 05:10:40
406,Road 3,person,2022-01-05 06:02:16
407,Road 3,dog,2022-01-05 16:40:52
408,Road 3,car,2022-01-05 20:36:33
409,Road 3,person,2022-01-05 15:53:44
410,Road 3,cow,2022-01-05 16:12:03
411,Road 3,person,2022-01-05 09:26:22
412,Road 3,person,2022-01-05 04:50:57
413,Road 2,cow,2022-01-05 05:07:44
414,Road 3,cow,2022-01-05 04:25:04
415,Road 3,cow,2022-01-05 09:28:18
416,Road 3,car,2022-01-05 13:35:40
417,Road 2,cow,2022-01-05 12:18:48
418,Road 3,car,2022-01-05 17:01:48
419,Road 2,person,2022-01-05 16:53:53
420,Road 3,cow,2022-01-05 13:56:50
421,Road 2,cow,2022-01-05 22:26:15
422,Road 3,dog,2022-01-05 22:58:24
423,Road 3,person,2022-01-05 22:02:40
424,Road 3,car,2022-01-05 17:54:14
425,Road 3,cow,2022-01-05 22:04:38
426,Road 2,car,2022-01-05 15:09:57
427,Road 3,person,2022-01-05 20:12:16
428,Road 3,person,2022-01-05 05:46:14
429,Road 3,cow,2022-01-05 04:18:02
430,Road 1,car,2022-01-05 03:55:32
431,Road 3,dog,2022-01-05 21:53:00
432,Road 3,car,2022-01-05 05:58:06
433,Road 2,cow,2022-01-05 21:54:56
434,Road 3,person,2022-01-05 01:22:17
435,Road 2,person,2022-01-05 10:38:10
436,Road 3,cow,2022-01-05 16:49:26
437,Road 3,cow,2022-01-05 03:21:02
438,Road 3,person,2022-01-05 18:09:50
439,Road 3,person,2022-01-05 05:35:14
440,Road 3,car,2022-01-05 05:09:24
441,Road 2,cow,2022-01-05 03:52:24
442,Road 2,cow,2022-01-05 15:37:41
443,Road 3,car,2022-01-05 03:11:05
444,Road 2,person,2022-01-05 02:23:52
445,Road 1,cow,2022-01-05 06:49:28
446,Road 3,person,2022-01-05 11:02:29
447,Road 3,person,2022-01-05 23:41:00
448,Road 3,person,2022-01-05 22:07:33
449,Road 2,car,2022-01-05 21:42:28
450,Road 2,car,2022-01-05 17:31:54
451,Road 3,person,2022-01-05 21:54:07
452,Road 3,car,2022-01-05 14:00:20
453,Road 2,person,2022-01-05 10:59:39
454,Road 3,car,2022-01-05 04:30:18
455,Road 3,car,2022-01-05 04:50:24
456,Road 2,dog,2022-01-05 02:02:41
457,Road 2,car,2022-01-05 04:29:17
458,Road 3,car,2022-01-05 05:15:18
459,Road 3,car,2022-01-05 05:58:06
460,Road 3,cow,2022-01-05 19:41:50
461,Road 3,cow,2022-01-05 16:58:11
462,Road 2,dog,2022-01-05 22:00:38
463,Road 2,person,2022-01-05 19:15:22
464,Road 2,car,2022-01-05 02:20:36
465,Road 2,cow,2022-01-05 15:14:03
466,Road 2,car,2022-01-05 22:10:54
467,Road 3,cow,2022-01-05 11:57:42
468,Road 2,dog,2022-01-05 00:02:35
469,Road 3,person,2022-01-05 03:41:48
470,Road 1,car,2022-01-05 13:27:52
471,Road 2,person,2022-01-05 21:54:28
472,Road 2,person,2022-01-05 09:36:59
473,Road 3,cow,2022-01-05 03:17:46
474,Road 2,car,2022-01-05 21:27:09
475,Road 3,car,2022-01-05 17:43:16
476,Road 3,person,2022-01-05 23:21:50
477,Road 3,car,2022-01-05 09:32:01
478,Road 1,car,2022-01-05 21:15:04
479,Road 3,person,2022-01-05 22:43:22
480,Road 1,person,2022-01-05 11:07:07
481,Road 3,cow,2022-01-05 03:08:18
482,Road 2,cow,2022-01-05 05:07:32
483,Road 3,car,2022-01-05 03:29:11
484,Road 2,car,2022-01-05 13:46:05
485,Road 3,car,2022-01-05 23:43:54
486,Road 2,car,2022-01-05 11:59:07
487,Road 2,car,2022-01-05 09:47:48
488,Road 2,cow,2022-01-05 14:15:41
489,Road 2,car,2022-01-05 21:19:28
490,Road 2,car,2022-01-05 05:20:26
491,Road 3,person,2022-01-05 12:50:17
492,Road 2,car,2022-01-05 08:13:00
493,Road 2,cow,2022-01-05 20:51:29
494,Road 3,car,2022-01-05 12:22:46
495,Road 3,person,2022-01-05 21:52:10
496,Road 1,dog,2022-01-05 11:41:26
497,Road 2,person,2022-01-05 12:05:22
498,Road 3,cow,2022-01-05 07:49:46
499,Road 2,person,2022-01-05 16:31:52
500,Road 3,car,2022-01-06 11:05:58
501,Road 1,dog,2022-01-06 04:12:40
502,Road 3,person,2022-01-06 19:18:41
503,Road 1,person,2022-01-06 08:58:15
504,Road 2,car,2022-01-06 14:29:56
505,Road 2,cow,2022-01-06 05:23:49
506,Road 3,cow,2022-01-06 05:02:29
507,Road 3,car,2022-01-06 13:57:28
508,Road 2,person,2022-01-06 21:31:18
509,Road 2,cow,2022-01-06 16:56:37
510,Road 3,person,2022-01-06 19:30:38
511,Road 1,car,2022-01-06 15:54:12
512,Road 1,car,2022-01-06 10:38:37
513,Road 3,car,2022-01-06 12:37:39
514,Road 3,person,2022-01-06 10:03:28
515,Road 3,cow,2022-01-06 16:08:06
516,Road 2,cow,2022-01-06 08:13:33
517,Road 3,person,2022-01-06 14:04:42
518,Road 1,person,2022-01-06 02:08:12
519,Road 3,car,2022-01-06 03:04:57
520,Road 3,cow,2022-01-06 01:05:52
521,Road 2,car,2022-01-06 10:19:39
522,Road 2,cow,2022-01-06 00:11:34
523,Road 2,car,2022-01-06 14:43:09
524,Road 2,car,2022-01-06 03:32:06
525,Road 2,car,2022-01-06 13:40:54
526,Road 1,cow,2022-01-06 21:10:26
527,Road 1,person,2022-01-06 05:08:19
528,Road 2,cow,2022-01-06 12:41:21
529,Road 3,dog,2022-01-06 20:21:58
530,Road 1,cow,2022-01-06 07:34:37
531,Road 2,car,2022-01-06 21:12:03
532,Road 2,cow,2022-01-06 08:53:57
533,Road 3,car,2022-01-06 03:20:25
534,Road 2,cow,2022-01-06 18:18:56
535,Road 2,person,2022-01-06 06:47:50
536,Road 1,person,2022-01-06 04:44:23
537,Road 3,cow,2022-01-06 20:07:58
538,Road 2,person,2022-01-06 14:12:27
539,Road 1,car,2022-01-06 17:27:59
540,Road 2,person,2022-01-06 20:05:40
541,Road 3,person,2022-01-06 12:25:01
542,Road 3,car,2022-01-06 19:47:01
543,Road 3,car,2022-01-06 10:02:34
544,Road 2,cow,2022-01-06 16:54:19
545,Road 3,car,2022-01-06 04:46:45
546,Road 3,car,2022-01-06 09:07:22
547,Road 3,car,2022-01-06 19:32:00
548,Road 3,person,2022-01-06 21:26:35
549,Road 3,person,2022-01-06 19:46:26
550,Road 2,person,2022-01-06 06:30:04
551,Road 3,cow,2022-01-06 15:10:53
552,Road 2,car,2022-01-06 21:53:30
553,Road 1,person,2022-01-06 10:07:35
554,Road 2,cow,2022-01-06 03:23:29
555,Road 2,cow,2022-01-06 10:20:52
556,Road 2,car,2022-01-06 18:35:24
557,Road 2,person,2022-01-06 11:23:14
558,Road 3,cow,2022-01-06 01:49:34
559,Road 1,car,2022-01-06 07:59:50
560,Road 3,person,2022-01-06 02:58:46
561,Road 2,dog,2022-01-06 08:36:22
562,Road 1,person,2022-01-06 18:42:35
563,Road 3,car,2022-01-06 18:00:43
564,Road 2,car,2022-01-06 10:21:46
565,Road 1,car,2022-01-06 14:11:34
566,Road 3,car,2022-01-06 21:54:10
567,Road 3,dog,2022-01-06 02:05:04
568,Road 3,car,2022-01-06 08:44:47
569,Road 3,car,2022-01-06 03:27:22
570,Road 2,cow,2022-01-06 02:04:11
571,Road 3,cow,2022-01-06 23:25:58
572,Road 2,car,2022-01-06 02:37:32
573,Road 2,dog,2022-01-06 03:49:21
574,Road 1,dog,2022-01-06 01:54:42
575,Road 2,person,2022-01-06 19:48:23
576,Road 3,car,2022-01-06 15:27:19
577,Road 3,person,2022-01-06 01:45:18
578,Road 3,person,2022-01-06 23:32:03
579,Road 2,person,2022-01-06 15:01:58
580,Road 3,car,2022-01-06 07:13:23
581,Road 3,person,2022-01-06 12:57:20
582,Road 1,car,2022-01-06 23:01:33
583,Road 3,car,2022-01-06 12:57:01
584,Road 3,person,2022-01-06 16:07:25
585,Road 1,cow,2022-01-06 03:51:41
586,Road 3,car,2022-01-06 10:29:38
587,Road 2,car,2022-01-06 01:52:50
588,Road 3,person,2022-01-06 13:12:21
589,Road 2,cow,2022-01-06 02:30:15
590,Road 3,car,2022-01-06 01:03:06
591,Road 2,dog,2022-01-06 12:14:08
592,Road 2,cow,2022-01-06 03:31:09
593,Road 3,person,2022-01-06 04:47:38
594,Road 3,car,2022-01-06 00:43:08
595,Road 3,car,2022-01-06 04:46:42
596,Road 2,car,2022-01-06 02:28:42
597,Road 3,person,2022-01-06 04:28:38
598,Road 2,cow,2022-01-06 01:37:36
599,Road 3,car,2022-01-06 00:50:24
600,Road 3,person,2022-01-07 01:51:42
601,Road 2,car,2022-01-07 16:05:07
602,Road 3,car,2022-01-07 05:03:36
603,Road 2,car,2022-01-07 00:32:55
604,Road 3,person,2022-01-07 23:40:10
605,Road 1,cow,2022-01-07 23:26:48
606,Road 3,person,2022-01-07 10:43:43
607,Road 3,person,2022-01-07 18:08:16
608,Road 3,person,2022-01-07 12:50:43
609,Road 3,person,2022-01-07 22:20:16
610,Road 2,person,2022-01-07 12:03:46
611,Road 3,dog,2022-01-07 04:33:06
612,Road 1,car,2022-01-07 13:51:38
613,Road 1,person,2022-01-07 10:45:47
614,Road 2,car,2022-01-07 05:50:07
615,Road 1,car,2022-01-07 20:56:08
616,Road 3,car,2022-01-07 20:43:17
617,Road 2,car,2022-01-07 00:12:01
618,Road 3,car,2022-01-07 14:47:13
619,Road 1,car,2022-01-07 06:43:49
620,Road 3,car,2022-01-07 02:43:58
621,Road 2,person,2022-01-07 17:43:48
622,Road 2,person,2022-01-07 04:18:27
623,Road 2,car,2022-01-07 04:34:58
624,Road 3,dog,2022-01-07 06:39:12
625,Road 3,person,2022-01-07 11:43:17
626,Road 2,car,2022-01-07 23:48:23
